ORGAO,2021,2022,2023,2024,MEDIA
Secretaria Municipal de Mobilidade e Trânsito,100.0,50.6,77.73,39.67,67.0
Secretaria Municipal de Inovação e Tecnologia,100.0,23.46,61.04,91.71,69.0525
Secretaria Municipal de Infraestrutura Urbana e Obras,100.0,64.73,77.94,51.5,73.5425
Secretaria Municipal de Cultura,100.0,66.67,60.0,72.58,74.8125
Secretaria Municipal de Segurança Urbana,0.0,100.0,100.0,100.0,75.0
Secretaria Municipal de Habitação,66.23,64.95,73.84,100.0,76.255
"Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Turismo",83.5,,,,83.5
Secretaria Municipal das Subprefeituras,91.99,60.05,91.08,100.0,85.78
Controladoria Geral do Município,100.0,100.0,100.0,66.67,91.6675
Secretaria Municipal de Educação,100.0,100.0,100.0,80.07,95.0175
Secretaria Municipal de Assistência e Desenvolvimento Social,100.0,90.0,98.33,94.45,95.695
Secretaria Municipal do Verde e do Meio Ambiente,100.0,91.53,100.0,100.0,97.8825
Secretaria Municipal da Pessoa com Deficiência,100.0,100.0,100.0,93.0,98.25
Secretaria Municipal de Direitos Humanos e Cidadania,100.0,100.0,97.92,97.5,98.855
Secretaria Municipal da Saúde,96.25,100.0,100.0,100.0,99.0625
Secretaria Municipal de Gestão,,,100.0,98.5,99.25
Secretaria Municipal de Desenvolvimento Econômico e Trabalho,,100.0,98.0,100.0,99.33333333333333
Secretaria Municipal de Urbanismo e Licenciamento,98.26,100.0,100.0,100.0,99.565
Procuradoria Geral do Município,100.0,100.0,99.7,100.0,99.925
Secretaria Municipal de Esportes e Lazer,100.0,100.0,100.0,100.0,100.0
Secretaria Executiva de Mudanças Climáticas,,,100.0,100.0,100.0
Secretaria Executiva de Desestatização e Parcerias,100.0,100.0,,,100.0
Secretaria Municipal da Fazenda,,,100.0,,100.0
Secretaria Executiva de Projetos Estratégicos,,100.0,100.0,100.0,100.0
Secretaria Municipal de Turismo,,100.0,100.0,100.0,100.0
Secretaria Municipal de Relações Internacionais,100.0,100.0,100.0,100.0,100.0
