,CDA_AGREGADOS,COMISSIONADO,COMISSIONADO_EFETIVO,QTD,PERCENTUAL_EFETIVOS,PERCENTUAL_LEGAL,CONFORMIDADE_LEGAL,ANO_MES_REF,ANO
0,"CDA-1, CDA-2, CDA-3",849,1043,1892,55.12684989429175,45,True,2022-06-01,2022
1,CDA-4,164,177,341,51.90615835777126,40,True,2022-06-01,2022
2,CDA-5,54,36,90,40.0,30,True,2022-06-01,2022
3,CDA-6,34,24,58,41.37931034482759,20,True,2022-06-01,2022
0,"CDA-1, CDA-2, CDA-3",1763,1251,3014,41.506303915063036,45,False,2022-07-01,2022
1,CDA-4,252,203,455,44.61538461538462,40,True,2022-07-01,2022
2,CDA-5,111,50,161,31.05590062111801,30,True,2022-07-01,2022
3,CDA-6,57,27,84,32.142857142857146,20,True,2022-07-01,2022
0,"CDA-1, CDA-2, CDA-3",3035,1737,4772,36.39983235540654,45,False,2022-08-01,2022
1,CDA-4,412,390,802,48.6284289276808,40,True,2022-08-01,2022
2,CDA-5,152,82,234,35.04273504273504,30,True,2022-08-01,2022
3,CDA-6,75,42,117,35.8974358974359,20,True,2022-08-01,2022
0,"CDA-1, CDA-2, CDA-3",3572,2428,6000,40.46666666666667,45,False,2022-09-01,2022
1,CDA-4,666,615,1281,48.00936768149883,40,True,2022-09-01,2022
2,CDA-5,166,89,255,34.90196078431372,30,True,2022-09-01,2022
3,CDA-6,137,73,210,34.76190476190476,20,True,2022-09-01,2022
0,"CDA-1, CDA-2, CDA-3",3647,2478,6125,40.457142857142856,45,False,2022-10-01,2022
1,CDA-4,705,632,1337,47.27000747943156,40,True,2022-10-01,2022
2,CDA-5,167,89,256,34.765625,30,True,2022-10-01,2022
3,CDA-6,148,72,220,32.72727272727273,20,True,2022-10-01,2022
0,"CDA-1, CDA-2, CDA-3",3665,2509,6174,40.63816002591513,45,False,2022-11-01,2022
1,CDA-4,724,629,1353,46.48928307464893,40,True,2022-11-01,2022
2,CDA-5,169,91,260,35.0,30,True,2022-11-01,2022
3,CDA-6,151,73,224,32.589285714285715,20,True,2022-11-01,2022
0,"CDA-1, CDA-2, CDA-3",3669,2516,6185,40.67906224737268,45,False,2022-12-01,2022
