,CDA_AGREGADOS,SECRET_SUBPREF,COMISSIONADO,COMISSIONADO_EFETIVO,QTD,PERCENTUAL_EFETIVOS,PERCENTUAL_LEGAL,CONFORMIDADE_LEGAL,ANO_MES_REF,ANO
0,"CDA-1, CDA-2, CDA-3",CASA CIVIL,44,8,52,15.384615384615385,45,False,2022-06-01,2022
1,"CDA-1, CDA-2, CDA-3",CONTROLADORIA GERAL DO MUNICIPIO,28,25,53,47.16981132075472,45,True,2022-06-01,2022
2,"CDA-1, CDA-2, CDA-3",GABINETE DO PREFEITO,67,0,67,0.0,45,False,2022-06-01,2022
3,"CDA-1, CDA-2, CDA-3",SECRETARIA DO GOVERNO MUNICIPAL,95,4,99,4.040404040404041,45,False,2022-06-01,2022
4,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DA SAUDE,269,869,1138,76.36203866432338,45,True,2022-06-01,2022
5,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE GESTAO,117,72,189,38.095238095238095,45,False,2022-06-01,2022
6,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE HABITACAO,51,40,91,43.956043956043956,45,False,2022-06-01,2022
7,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB,100,22,122,18.0327868852459,45,False,2022-06-01,2022
8,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE JUSTICA,11,0,11,0.0,45,False,2022-06-01,2022
9,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE MOBILIDADE E TRANSITO,22,3,25,12.0,45,False,2022-06-01,2022
10,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE RELACOES INTERNACIONAIS,33,0,33,0.0,45,False,2022-06-01,2022
11,"CDA-1, CDA-2, CDA-3",SECRETARIA MUNICIPAL DE TURISMO,12,0,12,0.0,45,False,2022-06-01,2022
12,CDA-4,CASA CIVIL,7,0,7,0.0,40,False,2022-06-01,2022
13,CDA-4,CONTROLADORIA GERAL DO MUNICIPIO,10,10,20,50.0,40,True,2022-06-01,2022
14,CDA-4,GABINETE DO PREFEITO,22,0,22,0.0,40,False,2022-06-01,2022
15,CDA-4,SECRETARIA DO GOVERNO MUNICIPAL,14,2,16,12.5,40,False,2022-06-01,2022
16,CDA-4,SECRETARIA MUNICIPAL DA SAUDE,41,141,182,77.47252747252747,40,True,2022-06-01,2022
17,CDA-4,SECRETARIA MUNICIPAL DE GESTAO,30,16,46,34.78260869565217,40,False,2022-06-01,2022
