,ANO_MES_REF,SERVIDORES,ENTRADAS,SAIDAS,SERVIDORES_COMISSAO,ENTRADAS_COMISSAO,SAIDAS_COMISSAO,SERVIDORES_MES_ANTERIOR,SERVIDORES_COMISSAO_MES_ANTERIOR,TAXA_ROTATIVIDADE,TAXA_ROTATIVIDADE_COMISSAO,ANO
0,2021-01-01,125962,11269,1132,12986,1037,706,116284.0,13047.0,5.3322039145540225,6.679696481949874,2021
1,2021-02-01,125656,881,771,12803,523,407,125962.0,12986.0,0.6557533224305743,3.580779300785461,2021
2,2021-03-01,125659,795,918,13095,699,914,125656.0,12803.0,0.6816228433182658,6.299304850425681,2021
3,2021-04-01,125504,836,842,12622,441,753,125659.0,13095.0,0.6676799910869894,4.558991981672394,2021
4,2021-05-01,125253,665,781,12468,599,467,125504.0,12622.0,0.5760772565017849,4.222785612422754,2021
5,2021-06-01,125072,648,710,12399,398,287,125253.0,12468.0,0.5421027839652542,2.747032402951556,2021
6,2021-07-01,124784,452,959,12533,421,426,125072.0,12399.0,0.564075092746578,3.415598032099363,2021
7,2021-08-01,124459,672,871,12470,363,352,124784.0,12533.0,0.6182683677394538,2.852469480571292,2021
8,2021-09-01,123930,370,613,12418,300,334,124459.0,12470.0,0.39490916687423167,2.5421010425020047,2021
9,2021-10-01,123777,471,704,12390,306,251,123930.0,12418.0,0.4740579359315743,2.2427121919793844,2021
10,2021-11-01,123669,631,1338,12420,281,255,123777.0,12390.0,0.7953820176607932,2.1630347054075867,2021
11,2021-12-01,122821,525,966,12448,283,191,123669.0,12420.0,0.6028188147393446,1.9082125603864735,2021
12,2022-01-01,122494,637,1318,12303,46,543,122821.0,12448.0,0.7958736698121657,2.365841902313625,2022
13,2022-02-01,121977,867,864,12260,500,451,122494.0,12303.0,0.7065652195209562,3.8649109973177276,2022
14,2022-03-01,122448,1346,750,12185,376,299,121977.0,12260.0,0.859178369692647,2.7528548123980423,2022
15,2022-04-01,122736,1044,1345,12315,429,511,122448.0,12185.0,0.975516137462433,3.857201477226098,2022
16,2022-05-01,123526,2128,737,12298,494,875,122736.0,12315.0,1.1671392256550646,5.558262281770199,2022
17,2022-06-01,124315,1540,739,11899,476,224,123526.0,12298.0,0.9224778589122937,2.8459912180842415,2022
18,2022-07-01,124630,1066,947,11905,230,297,124315.0,11899.0,0.8096368097172506,2.214471804353307,2022
19,2022-08-01,124473,819,823,12053,445,232,124630.0,11905.0,0.6587498997031213,2.843343133137337,2022
20,2022-09-01,124747,1066,672,12142,321,151,124473.0,12053.0,0.6981433724582842,1.9580187505185431,2022
21,2022-10-01,124955,887,532,12166,175,158,124747.0,12142.0,0.5687511523323207,1.3712732663482128,2022
22,2022-11-01,125303,872,627,12221,212,176,124955.0,12166.0,0.599815933736145,1.594607923721848,2022
23,2022-12-01,125003,344,532,12205,161,272,125303.0,12221.0,0.34955268429327313,1.7715407904426808,2022
24,2023-01-01,125026,574,724,12121,188,326,125003.0,12205.0,0.519187539499052,2.1056943875460874,2023
25,2023-02-01,125836,1555,1077,12176,381,347,125026.0,12121.0,1.052581063138867,3.003052553419685,2023
26,2023-03-01,125659,931,678,12237,408,287,125836.0,12176.0,0.6393241997520582,2.853975032851511,2023
27,2023-04-01,125668,697,857,12284,334,378,125659.0,12237.0,0.61834011093515,2.9092097736373295,2023
28,2023-05-01,125814,1024,832,12320,414,234,125668.0,12284.0,0.7384537034089824,2.637577336372517,2023
29,2023-06-01,126979,1910,637,12328,242,196,125814.0,12320.0,1.0122084982593351,1.7775974025974024,2023
30,2023-07-01,127781,1417,644,12420,288,211,126979.0,12328.0,0.8115515163924744,2.02384815055159,2023
31,2023-08-01,128597,1472,564,12460,251,166,127781.0,12420.0,0.7966755620945211,1.6787439613526571,2023
32,2023-09-01,129308,1285,575,12516,222,161,128597.0,12460.0,0.7231894989774256,1.5369181380417336,2023
33,2023-10-01,130277,1546,479,12568,213,161,129308.0,12516.0,0.783014198657469,1.4940875679130712,2023
34,2023-11-01,130641,845,700,12619,212,173,130277.0,12568.0,0.5929672927684857,1.5316677275620625,2023
35,2023-12-01,130413,493,543,12633,187,474,130641.0,12619.0,0.3965064566254085,2.6190664870433475,2023
36,2024-01-01,130374,515,900,12349,190,312,130413.0,12633.0,0.5425072653799852,1.986859811604528,2024
37,2024-02-01,129734,362,1059,12447,410,263,130374.0,12349.0,0.544970622976974,2.724916997327719,2024
38,2024-03-01,130776,1847,1104,12525,341,246,129734.0,12447.0,1.1373271463147672,2.3579979111432476,2024
39,2024-04-01,134453,4155,945,12619,340,300,130776.0,12525.0,1.9498990640484493,2.5548902195608783,2024
40,2024-05-01,134651,1155,817,12682,363,155,134453.0,12619.0,0.7333417625489949,2.0524605753229257,2024
41,2024-06-01,135065,1264,755,12744,217,227,134651.0,12682.0,0.7497159322990545,1.7505125374546602,2024
42,2024-07-01,136877,2569,1203,12761,244,484,135065.0,12744.0,1.3963647132861956,2.8562460765850597,2024
43,2024-08-01,136614,986,1335,12802,525,465,136877.0,12761.0,0.8478414927270469,3.879006347464932,2024
44,2024-09-01,135880,639,1445,12840,503,160,136614.0,12802.0,0.7627329556268025,2.5894391501327916,2024
45,2024-10-01,135292,895,1962,12889,209,517,135880.0,12840.0,1.0512952605239918,2.8271028037383177,2024
46,2024-11-01,134691,1376,1939,12906,534,447,135292.0,12889.0,1.2251278715666856,3.8055706416324,2024
47,2024-12-01,133283,579,2201,12920,461,1221,134691.0,12906.0,1.0319917440660475,6.516348984968231,2024
